format,scheduled_date,primary_keyword,drafted_at,title,error,pillar,persona,notes,dale_chall,secondary_keywords,draft_folder,status,published_at
educational,2026-08-03,how to get approved for a personal loan,,How to Get Approved for a Personal Loan When You Have Non-Traditional Income,,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Step-by-step guide for freelancers, contractors, and career returners. Cover: documentation lenders actually want, how to frame irregular income, and which lenders are more flexible with non-W2 borrowers.",,personal loan self employed|1099 income personal loan|freelancer loan approval|non-traditional income loan|how to qualify personal loan,,queued,
educational,2026-08-10,AI tools hurting freelancers,,AI Can Help You Land the Client — But It Can't Build Your Credit File,,Pillar 1: Financial Education for Non-Traditional Paths,All,"Triggered by: 'When the Scaffold Stays On,' arXiv 2606.06253, June 4 2026. Angle: AI as scaffold not substitute — skill atrophy risk for freelancers and career returners in client negotiations and lender credibility. POV: document actual expertise aggressively. Pairs with Pillar 2 plain-language framing. Cite source in body. CTA = income documentation checklist or newsletter signup. Re-review if rising search term data becomes available. Publish within 10–14 days.",,freelancer credit file|AI tools for freelancers|income documentation for lenders|credit credibility|auditable income history,,queued,
industry,2026-08-17,AI loan denial,,When AI Filters Out Your Story: What Algorithmic Bias Means for Women's Financial Futures,,Pillar 5: Industry Trends & Advocacy,All,"Triggered by: 'Epistemic Injustice in Language Models,' arXiv 2606.05936, June 4 2026. Angle: AI moderation and pretraining filters erase non-traditional financial narratives — directly impacts Ivy Edge audience in lending, credit, and fintech advice platforms. Pairs with Pillar 6: Building Differently. Cross-reference DEI rollback and fintech regulation news if available. Positions Ivy Edge as analytically credible. CTA = newsletter or 'Is This System Built for You?' recurring feature. Publish within 14 days.",,AI bias lending|non-traditional income AI|credit decisioning bias|women fintech equity|epistemic injustice AI|financial inclusion,,queued,
,2026-08-24,,,🐯 📹 Video 1: Babs (Barbie) — AI Is Expanding the Workday. Guess Who Absorbs the,,Pillar 6: Building Differently,,Cat content for: AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,,,cat_content,
,2026-08-31,,,🐯 📹 Video 2: Babs (Barbie) — AI Is Expanding the Workday. Guess Who Absorbs the,,Pillar 6: Building Differently,,Cat content for: AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,,,cat_content,
,2026-09-07,,,🐯 📸 Photo 2: Babs (Barbie) — AI Is Expanding the Workday. Guess Who Absorbs the,,Pillar 6: Building Differently,,Cat content for: AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,,,cat_content,
,2026-09-14,,,🐯 📹 Video 3: Babs (Barbie) — AI Is Expanding the Workday. Guess Who Absorbs the,,Pillar 6: Building Differently,,Cat content for: AI Is Expanding the Workday. Guess Who Absorbs the Overflow?,,,,cat_content,
industry,2026-09-21,why did an algorithm deny my loan,,Why Knowing Why Isn't Enough: The Fight for Algorithms You Can Actually Challenge,,Pillar 5: Industry Trends & Advocacy,All,Urgency: publish within 5 days of 2026-05-18. Triggered by arXiv paper 'Explainable AI Isn't Enough! Rethinking Algorithmic Contestability' (https://arxiv.org/abs/2605.16041). Angle: explainability theater vs. real contestability for women with non-linear income histories. CTA = newsletter sign-up + invite readers to share their own AI denial experiences. Seed 'The Algorithm Problem' series franchise. [bumped by trending topic],,explainable AI|AI loan denial|algorithmic contestability|non-traditional income credit|AI underwriting bias,,queued,
,2026-09-28,,,🐯 📸 Photo 1: Babs (Barbie) — Why Knowing Why Isn't Enough: The Fight for Algori,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Why Knowing Why Isn't Enough: The Fight for Algorithms You C,,,,cat_content,
,2026-10-05,,,🐯 📹 Video 1: Babs (Barbie) — Why Knowing Why Isn't Enough: The Fight for Algori,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Why Knowing Why Isn't Enough: The Fight for Algorithms You C,,,,cat_content,
,2026-10-12,,,🐯 📹 Video 2: Babs (Barbie) — Why Knowing Why Isn't Enough: The Fight for Algori,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Why Knowing Why Isn't Enough: The Fight for Algorithms You C,,,,cat_content,
,2026-10-19,,,🐯 📸 Photo 2: Babs (Barbie) — Why Knowing Why Isn't Enough: The Fight for Algori,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Why Knowing Why Isn't Enough: The Fight for Algorithms You C,,,,cat_content,
,2026-10-26,,,🐯 📹 Video 3: Babs (Barbie) — Why Knowing Why Isn't Enough: The Fight for Algori,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Why Knowing Why Isn't Enough: The Fight for Algorithms You C,,,,cat_content,
educational,2026-11-02,can AI give financial advice,,The Algorithm Has Opinions About Your Finances. Here's What That Means for You.,,Pillar 2: Demystifying Finance,All,Urgency: publish within 7 days of 2026-05-18. Triggered by arXiv paper 'AI-Mediated Communication Can Steer Collective Opinion' (https://arxiv.org/abs/2605.16245). Angle: AI-filtered information environments nudge women toward conventional financial paths; IvyEdge as antidote. Pillar 5 advocacy edge present. CTA = newsletter sign-up framed as opting out of biased mainstream content. Pairs well with post 1 as a two-part launch sequence.,,AI opinion steering|algorithmic content bias|career return finance|freelance income search results|AI-mediated communication,,queued,
,2026-11-09,,,🐯 📸 Photo 1: Babs (Barbie) — The Algorithm Has Opinions About Your Finances. He,,Pillar 2: Demystifying Finance,,Cat content for: The Algorithm Has Opinions About Your Finances. Here's What ,,,,cat_content,
,2026-11-16,,,🐯 📹 Video 1: Babs (Barbie) — The Algorithm Has Opinions About Your Finances. He,,Pillar 2: Demystifying Finance,,Cat content for: The Algorithm Has Opinions About Your Finances. Here's What ,,,,cat_content,
,2026-11-23,,,🐯 📹 Video 2: Babs (Barbie) — The Algorithm Has Opinions About Your Finances. He,,Pillar 2: Demystifying Finance,,Cat content for: The Algorithm Has Opinions About Your Finances. Here's What ,,,,cat_content,
,2026-11-30,,,🐯 📸 Photo 2: Babs (Barbie) — The Algorithm Has Opinions About Your Finances. He,,Pillar 2: Demystifying Finance,,Cat content for: The Algorithm Has Opinions About Your Finances. Here's What ,,,,cat_content,
,2026-12-07,,,🐯 📹 Video 3: Babs (Barbie) — The Algorithm Has Opinions About Your Finances. He,,Pillar 2: Demystifying Finance,,Cat content for: The Algorithm Has Opinions About Your Finances. Here's What ,,,,cat_content,
industry,2026-12-14,credit denied by AI,,Your Credit Was Denied by an Algorithm. Knowing Why Isn't Enough.,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,All,"Urgency: publish within 4 days of 2026-05-18. Triggered by arXiv paper https://arxiv.org/abs/2605.16041v1 on contestability gaps in explainable AI. Angle: explainability that says 'add continuous employment' is a trap for women with career gaps, freelance income, or caregiving periods. IvyEdge position: contestability must be a structural right. Tie to CFPB and EU AI Act regulatory momentum. CTA = newsletter sign-up + share. Watch fintech press for pickup.",,AI hiring bias|explainable AI|algorithmic accountability|CFPB|EU AI Act|contested decisions|non-traditional work history,,queued,
,2026-12-21,,,🐯 📸 Photo 1: Babs (Barbie) — Your Credit Was Denied by an Algorithm. Knowing Wh,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,,Cat content for: Your Credit Was Denied by an Algorithm. Knowing Why Isn't En,,,,cat_content,
,2026-12-28,,,🐯 📹 Video 1: Babs (Barbie) — Your Credit Was Denied by an Algorithm. Knowing Wh,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,,Cat content for: Your Credit Was Denied by an Algorithm. Knowing Why Isn't En,,,,cat_content,
,2027-01-04,,,🐯 📹 Video 2: Babs (Barbie) — Your Credit Was Denied by an Algorithm. Knowing Wh,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,,Cat content for: Your Credit Was Denied by an Algorithm. Knowing Why Isn't En,,,,cat_content,
,2027-01-11,,,🐯 📸 Photo 2: Babs (Barbie) — Your Credit Was Denied by an Algorithm. Knowing Wh,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,,Cat content for: Your Credit Was Denied by an Algorithm. Knowing Why Isn't En,,,,cat_content,
,2027-01-18,,,🐯 📹 Video 3: Babs (Barbie) — Your Credit Was Denied by an Algorithm. Knowing Wh,,Pillar 5 — Industry Trends & Advocacy / Pillar 6 — Building Differently,,Cat content for: Your Credit Was Denied by an Algorithm. Knowing Why Isn't En,,,,cat_content,
industry,2027-01-25,AI rewriting my LinkedIn,,"When You Let AI Rewrite Your LinkedIn, Who's Actually Speaking?",,Pillar 5 — Industry Trends & Advocacy,All,"Urgency: publish within 5-6 days of 2026-05-18. Triggered by arXiv paper https://arxiv.org/abs/2605.16245v1 on LLM-driven opinion shift on platforms. Angle: AI writing assistants may be smoothing out authentic non-traditional signals in women's career narratives, homogenizing discourse toward male-coded professional norms. Format: short opinion piece or LinkedIn-native post optimized for shareability. CTA = comment prompt asking audience to share their experience with AI rewriting tools.",,LinkedIn AI tools|opinion homogenization|non-traditional career narrative|return to work|career gap storytelling|AI and women at work,,queued,
,2027-02-01,,,"🐯 📸 Photo 1: Babs (Barbie) — When You Let AI Rewrite Your LinkedIn, Who's Actua",,Pillar 5 — Industry Trends & Advocacy,,"Cat content for: When You Let AI Rewrite Your LinkedIn, Who's Actually Speaki",,,,cat_content,
,2027-02-08,,,"🐯 📹 Video 1: Babs (Barbie) — When You Let AI Rewrite Your LinkedIn, Who's Actua",,Pillar 5 — Industry Trends & Advocacy,,"Cat content for: When You Let AI Rewrite Your LinkedIn, Who's Actually Speaki",,,,cat_content,
,2027-02-15,,,"🐯 📹 Video 2: Babs (Barbie) — When You Let AI Rewrite Your LinkedIn, Who's Actua",,Pillar 5 — Industry Trends & Advocacy,,"Cat content for: When You Let AI Rewrite Your LinkedIn, Who's Actually Speaki",,,,cat_content,
,2027-02-22,,,"🐯 📸 Photo 2: Babs (Barbie) — When You Let AI Rewrite Your LinkedIn, Who's Actua",,Pillar 5 — Industry Trends & Advocacy,,"Cat content for: When You Let AI Rewrite Your LinkedIn, Who's Actually Speaki",,,,cat_content,
,2027-03-01,,,"🐯 📹 Video 3: Babs (Barbie) — When You Let AI Rewrite Your LinkedIn, Who's Actua",,Pillar 5 — Industry Trends & Advocacy,,"Cat content for: When You Let AI Rewrite Your LinkedIn, Who's Actually Speaki",,,,cat_content,
educational,2027-03-08,career gap credit score,,The Career Gap That Made Your Credit Score Drop (And Why That's Backwards),,Pillar 1: Financial Education for Non-Traditional Paths,Priya,PRE-LAUNCH. CTA = tell-us-your-story (collect for launch story bank).,,credit drop after caregiving|career returner loan|how to rebuild credit after gap,,scheduled,
,2027-03-15,,,🐯 📸 Photo 1: Babs (Barbie) — The Career Gap That Made Your Credit Score Drop (A,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Career Gap That Made Your Credit Score Drop (And Why Tha,,,,cat_content,
,2027-03-22,,,🐯 📹 Video 1: Babs (Barbie) — The Career Gap That Made Your Credit Score Drop (A,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Career Gap That Made Your Credit Score Drop (And Why Tha,,,,cat_content,
,2027-03-29,,,🐯 📹 Video 2: Babs (Barbie) — The Career Gap That Made Your Credit Score Drop (A,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Career Gap That Made Your Credit Score Drop (And Why Tha,,,,cat_content,
,2027-04-05,,,🐯 📸 Photo 2: Babs (Barbie) — The Career Gap That Made Your Credit Score Drop (A,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Career Gap That Made Your Credit Score Drop (And Why Tha,,,,cat_content,
,2027-04-12,,,🐯 📹 Video 3: Babs (Barbie) — The Career Gap That Made Your Credit Score Drop (A,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Career Gap That Made Your Credit Score Drop (And Why Tha,,,,cat_content,
educational,2027-04-19,APR vs interest rate,,APR vs. Interest Rate: Why One Number Is 3 Points Higher,,Pillar 2: Demystifying Finance,All,PRE-LAUNCH. CTA = newsletter. Use a concrete example (11.9% interest -> 14.2% APR). [bumped by trending topic],,APR explained|how to compare loan offers|loan APR includes fees,,scheduled,
,2027-04-26,,,🐯 📸 Photo 1: Babs (Barbie) — APR vs. Interest Rate: Why One Number Is 3 Points ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: Why One Number Is 3 Points Higher,,,,cat_content,
,2027-05-03,,,🐯 📹 Video 1: Babs (Barbie) — APR vs. Interest Rate: Why One Number Is 3 Points ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: Why One Number Is 3 Points Higher,,,,cat_content,
,2027-05-10,,,🐯 📹 Video 2: Babs (Barbie) — APR vs. Interest Rate: Why One Number Is 3 Points ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: Why One Number Is 3 Points Higher,,,,cat_content,
,2027-05-17,,,🐯 📸 Photo 2: Babs (Barbie) — APR vs. Interest Rate: Why One Number Is 3 Points ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: Why One Number Is 3 Points Higher,,,,cat_content,
,2027-05-24,,,🐯 📹 Video 3: Babs (Barbie) — APR vs. Interest Rate: Why One Number Is 3 Points ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: Why One Number Is 3 Points Higher,,,,cat_content,
educational,2027-05-31,business loan four years profitable,,How to Build Credit When You've Been Profitable for 'Only' Four Years,,Pillar 1: Financial Education for Non-Traditional Paths,Carmen,PRE-LAUNCH. CTA = waitlist. What to ASK lenders — don't pitch a product.,,build business credit|alternative business lender|SBA alternative,,scheduled,
,2027-06-07,,,🐯 📸 Photo 1: Babs (Barbie) — How to Build Credit When You've Been Profitable fo,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Build Credit When You've Been Profitable for 'Only' F,,,,cat_content,
,2027-06-14,,,🐯 📹 Video 1: Babs (Barbie) — How to Build Credit When You've Been Profitable fo,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Build Credit When You've Been Profitable for 'Only' F,,,,cat_content,
,2027-06-21,,,🐯 📹 Video 2: Babs (Barbie) — How to Build Credit When You've Been Profitable fo,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Build Credit When You've Been Profitable for 'Only' F,,,,cat_content,
,2027-06-28,,,🐯 📸 Photo 2: Babs (Barbie) — How to Build Credit When You've Been Profitable fo,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Build Credit When You've Been Profitable for 'Only' F,,,,cat_content,
,2027-07-05,,,🐯 📹 Video 3: Babs (Barbie) — How to Build Credit When You've Been Profitable fo,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Build Credit When You've Been Profitable for 'Only' F,,,,cat_content,
educational,2027-07-12,FICO underwriting bias,,The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,All,PRE-LAUNCH. CTA = waitlist. 1989 FICO design history + women's credit access data. Cornerstone authority piece.,,how underwriting works|alternative credit scoring|gender gap credit,,scheduled,
,2027-07-19,,,🐯 📸 Photo 1: Babs (Barbie) — The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,,Cat content for: The Underwriting Model That Wasn't Built for You,,,,cat_content,
,2027-07-26,,,🐯 📹 Video 1: Babs (Barbie) — The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,,Cat content for: The Underwriting Model That Wasn't Built for You,,,,cat_content,
,2027-08-02,,,🐯 📹 Video 2: Babs (Barbie) — The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,,Cat content for: The Underwriting Model That Wasn't Built for You,,,,cat_content,
,2027-08-09,,,🐯 📸 Photo 2: Babs (Barbie) — The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,,Cat content for: The Underwriting Model That Wasn't Built for You,,,,cat_content,
,2027-08-16,,,🐯 📹 Video 3: Babs (Barbie) — The Underwriting Model That Wasn't Built for You,,Pillar 2: Demystifying Finance,,Cat content for: The Underwriting Model That Wasn't Built for You,,,,cat_content,
educational,2027-08-23,freelancer credit building,,5 Credit-Building Mistakes Freelancers Make (And How to Fix Them),,Pillar 1: Financial Education for Non-Traditional Paths,Maya,PRE-LAUNCH. CTA = newsletter or share.,,credit mistakes 1099|how to build credit as freelancer|freelancer credit utilization,,scheduled,
,2027-08-30,,,🐯 📸 Photo 1: Babs (Barbie) — 5 Credit-Building Mistakes Freelancers Make (And H,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: 5 Credit-Building Mistakes Freelancers Make (And How to Fix ,,,,cat_content,
,2027-09-06,,,🐯 📹 Video 1: Babs (Barbie) — 5 Credit-Building Mistakes Freelancers Make (And H,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: 5 Credit-Building Mistakes Freelancers Make (And How to Fix ,,,,cat_content,
,2027-09-13,,,🐯 📹 Video 2: Babs (Barbie) — 5 Credit-Building Mistakes Freelancers Make (And H,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: 5 Credit-Building Mistakes Freelancers Make (And How to Fix ,,,,cat_content,
,2027-09-20,,,🐯 📸 Photo 2: Babs (Barbie) — 5 Credit-Building Mistakes Freelancers Make (And H,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: 5 Credit-Building Mistakes Freelancers Make (And How to Fix ,,,,cat_content,
,2027-09-27,,,🐯 📹 Video 3: Babs (Barbie) — 5 Credit-Building Mistakes Freelancers Make (And H,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: 5 Credit-Building Mistakes Freelancers Make (And How to Fix ,,,,cat_content,
industry,2027-10-04,AI banking 2026,,AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,All,PRE-LAUNCH. CTA = newsletter. Cite Mintel 49% stat. Press-friendly thought leadership piece.,,using ChatGPT to choose bank|AI financial advice|how AI changes banking,,scheduled,
,2027-10-11,,,🐯 📸 Photo 1: Babs (Barbie) — AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,,Cat content for: AI Is Becoming the New Front Door to Banking,,,,cat_content,
,2027-10-18,,,🐯 📹 Video 1: Babs (Barbie) — AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,,Cat content for: AI Is Becoming the New Front Door to Banking,,,,cat_content,
,2027-10-25,,,🐯 📹 Video 2: Babs (Barbie) — AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,,Cat content for: AI Is Becoming the New Front Door to Banking,,,,cat_content,
,2027-11-01,,,🐯 📸 Photo 2: Babs (Barbie) — AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,,Cat content for: AI Is Becoming the New Front Door to Banking,,,,cat_content,
,2027-11-08,,,🐯 📹 Video 3: Babs (Barbie) — AI Is Becoming the New Front Door to Banking,,Pillar 5: Industry Trends & Advocacy,,Cat content for: AI Is Becoming the New Front Door to Banking,,,,cat_content,
educational,2027-11-15,how banks decide who is high risk,,What Banks Are Actually Measuring When They Say You're 'High Risk',,Pillar 2: Demystifying Finance,All,"Most readers assume 'high risk' is a verdict on their character; this post shows it's a model output based on inputs that were never calibrated for non-linear careers. IvyEdge POV: the model is the problem, not the borrower.",,bank underwriting criteria|what makes someone high risk to lenders|credit risk assessment explained|how lenders evaluate loan applications,,scheduled,
,2027-11-22,,,🐯 📸 Photo 1: Babs (Barbie) — What Banks Are Actually Measuring When They Say Yo,,Pillar 2: Demystifying Finance,,Cat content for: What Banks Are Actually Measuring When They Say You're 'High,,,,cat_content,
,2027-11-29,,,🐯 📹 Video 1: Babs (Barbie) — What Banks Are Actually Measuring When They Say Yo,,Pillar 2: Demystifying Finance,,Cat content for: What Banks Are Actually Measuring When They Say You're 'High,,,,cat_content,
,2027-12-06,,,🐯 📹 Video 2: Babs (Barbie) — What Banks Are Actually Measuring When They Say Yo,,Pillar 2: Demystifying Finance,,Cat content for: What Banks Are Actually Measuring When They Say You're 'High,,,,cat_content,
,2027-12-13,,,🐯 📸 Photo 2: Babs (Barbie) — What Banks Are Actually Measuring When They Say Yo,,Pillar 2: Demystifying Finance,,Cat content for: What Banks Are Actually Measuring When They Say You're 'High,,,,cat_content,
,2027-12-20,,,🐯 📹 Video 3: Babs (Barbie) — What Banks Are Actually Measuring When They Say Yo,,Pillar 2: Demystifying Finance,,Cat content for: What Banks Are Actually Measuring When They Say You're 'High,,,,cat_content,
educational,2027-12-27,does side hustle income hurt loan application,,The Side Hustle Paradox: How Extra Income Can Hurt Your Loan Application,,Pillar 1: Financial Education for Non-Traditional Paths,Maya,"Lenders often treat secondary 1099 income as noise rather than signal, sometimes increasing perceived variability even when total income is higher. The post teaches readers how to present blended income — W-2 plus 1099 — so both streams count in their favor.",,1099 side income loan|gig work and mortgage approval|freelance income underwriting|multiple income streams loan,,scheduled,
,2028-01-03,,,🐯 📸 Photo 1: Babs (Barbie) — The Side Hustle Paradox: How Extra Income Can Hurt,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Side Hustle Paradox: How Extra Income Can Hurt Your Loan,,,,cat_content,
,2028-01-10,,,🐯 📹 Video 1: Babs (Barbie) — The Side Hustle Paradox: How Extra Income Can Hurt,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Side Hustle Paradox: How Extra Income Can Hurt Your Loan,,,,cat_content,
,2028-01-17,,,🐯 📹 Video 2: Babs (Barbie) — The Side Hustle Paradox: How Extra Income Can Hurt,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Side Hustle Paradox: How Extra Income Can Hurt Your Loan,,,,cat_content,
,2028-01-24,,,🐯 📸 Photo 2: Babs (Barbie) — The Side Hustle Paradox: How Extra Income Can Hurt,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Side Hustle Paradox: How Extra Income Can Hurt Your Loan,,,,cat_content,
,2028-01-31,,,🐯 📹 Video 3: Babs (Barbie) — The Side Hustle Paradox: How Extra Income Can Hurt,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: The Side Hustle Paradox: How Extra Income Can Hurt Your Loan,,,,cat_content,
educational,2028-02-07,hard pull vs soft pull credit score,,Hard Pull vs. Soft Pull: What Actually Happens to Your Credit When You Apply,,Pillar 2: Demystifying Finance,All,Fear of hard pulls leads many women to skip rate comparisons entirely — which costs them more than any inquiry would. The post explains the 30-day rate-shopping window and corrects the misconception that browsing loan offers is dangerous.,,does checking credit hurt score|credit inquiry impact|how many hard inquiries is too many|rate shopping credit pull,,scheduled,
,2028-02-14,,,🐯 📸 Photo 1: Babs (Barbie) — Hard Pull vs. Soft Pull: What Actually Happens to ,,Pillar 2: Demystifying Finance,,Cat content for: Hard Pull vs. Soft Pull: What Actually Happens to Your Credi,,,,cat_content,
,2028-02-21,,,🐯 📹 Video 1: Babs (Barbie) — Hard Pull vs. Soft Pull: What Actually Happens to ,,Pillar 2: Demystifying Finance,,Cat content for: Hard Pull vs. Soft Pull: What Actually Happens to Your Credi,,,,cat_content,
